generated_index,hash,matched_split,matched_dataset_indices,num_dataset_matches
2088,115f34c93b0f671d28be7891d22f2fb296c51bd5,train,86196 86198,2
2090,2b5f75421b048cbc6dcba4842537786dcb1852c0,train,41392 41399,2
2116,7d37ca49546f8b011c920b26f84129b015540b48,train,16388 16390,2
2146,9309febfef14c7d0a0f8af3be5ceb9e5385a1682,train,22506,1
2198,037026e6b364b47041f3289e11043ea483bdfece,train,84798,1
2265,bf0cff29a286674ed0b0ebabc1ebe8e2d312ccba,train,70587,1
2283,4608e6fa59ead52dbe58974fd0417e05aa66a985,train,83082,1
2328,804db680945fb96204d341462fd350756ea1d2a7,train,89533,1
2346,eeedc2bdad4407984e1b8d0063d00f1081c80f87,train,80177,1
2350,0f0def72ebb04f290f6253eb86ac2a2baa8a8cc2,train,59424 59431,2
2377,4f49f5982cacac00c90dfbb1e762098fd7f91002,train,67540 67542,2
2378,aa9f0b8014846ae86f23361aa4a246c48aacae3f,train,68426,1
2397,1a77cb381e11c52b066ee641f9ee69046624b643,train,42236 42238,2
2400,23cbde1c0f226f4df8552c1615aea968377c8ad0,train,16796 16798,2
2409,197a7ae72336579c673feefa5a0d8c5203f9a28a,train,39178,1
2454,4186554689a51c47a2b8b52b296916f13d452d7b,train,62576 62583 88360,3
2476,0bc78a5724701692076189e46808f378034c1a41,train,44894,1
2528,9d9befd2f1ef21b5d8957edbaff85090a2da87ce,train,31706,1
2567,eb9ac6e14b7f8173b08cb876589b5ab4173632b2,train,52794,1
2596,e9b18114f65aa554953adb68c742ccd91cb3640b,train,34227,1
2603,e49269ade862eb52fb593f003a9746c6aa590673,train,53083,1
2606,1c31a59b00b995dde2c0b57f809fef6bb00468b0,train,34353,1
2637,977f3ecb6cb7b759b88c61dcbc4caa8cd4f0bc27,train,14428 14430,2
2654,f3281fe2dd0729d63d6fa32f2b915aff30be8bbe,train,30100,1
2677,e0cbbcc23567216c0ed40b79945ae273ed8c8521,train,46423,1
2690,7829216e46418cfed583cd34b078e5ed40a9f3de,train,68989,1
