index,status,score,reasons,opaque_ratio,edge_density,bbox_w,bbox_h,bbox_area,center_x,center_y,bbox_x0,bbox_y0,largest_component_ratio,component_count,token_entropy,unique_opaque_tokens
1570,keep,2.59480101,,0.22167969,0.17086694,0.43750000,0.78125000,0.34179688,0.50959216,0.58689783,0.32258065,0.19354839,1.00000000,1.00000000,2.94094103,13.00000000
1571,keep,4.06051301,,0.20507812,0.16330645,0.37500000,0.75000000,0.28125000,0.47096774,0.58494624,0.29032258,0.22580645,1.00000000,1.00000000,3.06694156,12.00000000
1572,keep,5.07833875,,0.20898438,0.16129032,0.40625000,0.81250000,0.33007812,0.49442267,0.56104914,0.32258065,0.12903226,0.99065421,2.00000000,2.83492119,12.00000000
1573,keep,3.14340841,,0.22363281,0.16834677,0.34375000,0.84375000,0.29003906,0.52007325,0.55176785,0.35483871,0.12903226,1.00000000,1.00000000,2.77673730,13.00000000
1574,keep,5.27810662,,0.19726562,0.14364919,0.40625000,0.75000000,0.30468750,0.47844139,0.54391568,0.29032258,0.19354839,1.00000000,1.00000000,2.89705750,11.00000000
1575,keep,2.56610694,,0.21386719,0.16985887,0.37500000,0.84375000,0.31640625,0.50802769,0.55693033,0.32258065,0.12903226,1.00000000,1.00000000,2.80584647,10.00000000
1576,keep,2.28692370,,0.21191406,0.17893145,0.37500000,0.78125000,0.29296875,0.47554631,0.57544225,0.29032258,0.19354839,1.00000000,1.00000000,3.04159685,12.00000000
1577,keep,3.34534361,,0.22949219,0.17288306,0.40625000,0.87500000,0.35546875,0.47741935,0.55840769,0.29032258,0.12903226,0.99574468,2.00000000,2.70221992,11.00000000
1578,keep,3.06460460,,0.20898438,0.16935484,0.34375000,0.78125000,0.26855469,0.48522762,0.57009346,0.32258065,0.19354839,1.00000000,1.00000000,2.99548683,11.00000000
1579,keep,2.07237294,,0.21582031,0.16431452,0.40625000,0.78125000,0.31738281,0.48620639,0.56955189,0.29032258,0.19354839,1.00000000,1.00000000,2.86553899,11.00000000
1580,keep,2.54312030,,0.21875000,0.19304435,0.43750000,0.75000000,0.32812500,0.47710253,0.58827765,0.25806452,0.22580645,1.00000000,1.00000000,3.21476454,12.00000000
1581,keep,4.61019830,,0.26464844,0.20564516,0.46875000,0.84375000,0.39550781,0.48779907,0.58338293,0.25806452,0.16129032,1.00000000,1.00000000,3.00759221,12.00000000
1582,keep,2.54047182,,0.22070312,0.16028226,0.40625000,0.78125000,0.31738281,0.51427348,0.57607765,0.32258065,0.19354839,1.00000000,1.00000000,3.15315578,12.00000000
1583,keep,4.73566294,,0.19628906,0.15322581,0.37500000,0.75000000,0.28125000,0.46750120,0.57165784,0.29032258,0.22580645,1.00000000,1.00000000,2.91122462,10.00000000
1584,keep,4.89894374,,0.22753906,0.18044355,0.43750000,0.78125000,0.34179688,0.50616087,0.58216807,0.32258065,0.19354839,0.98712446,4.00000000,2.66250323,11.00000000
1585,keep,3.35287580,,0.25781250,0.19254032,0.46875000,0.81250000,0.38085938,0.48973607,0.58602151,0.25806452,0.19354839,1.00000000,1.00000000,3.07380361,12.00000000
1586,keep,4.55644392,,0.20117188,0.16129032,0.34375000,0.78125000,0.26855469,0.47416223,0.55746946,0.32258065,0.19354839,1.00000000,1.00000000,3.10059620,12.00000000
1587,keep,2.62256147,,0.22558594,0.16229839,0.43750000,0.78125000,0.34179688,0.50635386,0.58260020,0.32258065,0.19354839,1.00000000,1.00000000,2.75598303,11.00000000
1588,keep,3.54226815,,0.23046875,0.18750000,0.40625000,0.84375000,0.34277344,0.48510115,0.57572444,0.29032258,0.16129032,0.99152542,3.00000000,3.12642685,14.00000000
1589,keep,8.85734337,,0.27636719,0.21169355,0.62500000,0.81250000,0.50781250,0.54223185,0.56103955,0.29032258,0.16129032,1.00000000,1.00000000,3.12741404,12.00000000
1590,keep,8.50700320,,0.30761719,0.23487903,0.46875000,0.84375000,0.39550781,0.49124424,0.59559652,0.25806452,0.16129032,1.00000000,1.00000000,3.18220043,12.00000000
1591,keep,5.65202890,,0.20410156,0.16582661,0.37500000,0.81250000,0.30468750,0.46488656,0.53511344,0.29032258,0.12903226,0.99521531,2.00000000,3.04712489,14.00000000
1592,keep,3.68496774,,0.20507812,0.15423387,0.37500000,0.78125000,0.29296875,0.50261137,0.57019969,0.32258065,0.19354839,1.00000000,1.00000000,3.13090509,14.00000000
1593,keep,1.74499972,,0.23730469,0.18750000,0.40625000,0.81250000,0.33007812,0.51825302,0.58383114,0.32258065,0.16129032,1.00000000,1.00000000,3.23052017,13.00000000
1594,keep,4.26376484,,0.20898438,0.17540323,0.37500000,0.75000000,0.28125000,0.51627977,0.61576726,0.35483871,0.25806452,1.00000000,1.00000000,3.11980731,11.00000000
1595,keep,1.84686963,,0.21777344,0.16885081,0.40625000,0.78125000,0.31738281,0.48705338,0.56531173,0.29032258,0.19354839,1.00000000,1.00000000,2.85674212,14.00000000
1596,keep,3.84186025,,0.21386719,0.15322581,0.34375000,0.78125000,0.26855469,0.48254529,0.56635734,0.32258065,0.19354839,1.00000000,1.00000000,2.73138421,11.00000000
1597,keep,8.73403189,,0.30371094,0.22479839,0.53125000,0.81250000,0.43164062,0.49165024,0.60491650,0.22580645,0.19354839,1.00000000,1.00000000,3.15248754,11.00000000
1598,keep,4.23093843,,0.20507812,0.15826613,0.37500000,0.78125000,0.29296875,0.46620584,0.55944700,0.29032258,0.19354839,1.00000000,1.00000000,2.86743603,12.00000000
1599,keep,5.60736293,,0.18847656,0.14969758,0.34375000,0.75000000,0.25781250,0.47484540,0.56911249,0.32258065,0.22580645,1.00000000,1.00000000,2.93013916,10.00000000
1600,keep,3.70387606,,0.20996094,0.14566532,0.37500000,0.78125000,0.29296875,0.49062266,0.56774194,0.32258065,0.19354839,1.00000000,1.00000000,2.63953318,11.00000000
1601,keep,3.45119613,,0.20605469,0.17338710,0.37500000,0.78125000,0.29296875,0.46476074,0.55924171,0.29032258,0.19354839,1.00000000,1.00000000,3.25657458,12.00000000
1602,keep,12.02626344,,0.29882812,0.22379032,0.78125000,0.81250000,0.63476562,0.49040692,0.59803922,0.09677419,0.19354839,1.00000000,1.00000000,2.86122460,11.00000000
1603,review,13.46995712,,0.30957031,0.24798387,0.78125000,0.81250000,0.63476562,0.49160476,0.58817544,0.09677419,0.19354839,1.00000000,1.00000000,3.12120220,11.00000000
1604,keep,1.98084072,,0.22851562,0.17086694,0.37500000,0.84375000,0.31640625,0.52191894,0.56355114,0.35483871,0.12903226,1.00000000,1.00000000,2.48202505,12.00000000
1605,keep,2.90454751,,0.21582031,0.16633065,0.37500000,0.78125000,0.29296875,0.47175595,0.56692454,0.29032258,0.19354839,1.00000000,1.00000000,3.06308843,12.00000000
1606,keep,2.24142619,,0.21972656,0.17338710,0.43750000,0.75000000,0.32812500,0.47512545,0.58523297,0.25806452,0.22580645,1.00000000,1.00000000,2.87513589,13.00000000
1607,keep,5.87192573,,0.24707031,0.20614919,0.53125000,0.84375000,0.44824219,0.47086574,0.53920694,0.19354839,0.12903226,1.00000000,1.00000000,2.96066445,13.00000000
1608,keep,2.72879001,,0.21679688,0.18044355,0.37500000,0.84375000,0.31640625,0.46178437,0.54199361,0.29032258,0.12903226,1.00000000,1.00000000,3.11296298,14.00000000
1609,keep,5.41867575,,0.27539062,0.21673387,0.43750000,0.81250000,0.35546875,0.49004804,0.60032029,0.29032258,0.19354839,1.00000000,1.00000000,3.27762524,11.00000000
1610,keep,4.62589934,,0.20898438,0.15171371,0.37500000,0.78125000,0.29296875,0.51763642,0.59330721,0.35483871,0.22580645,1.00000000,1.00000000,2.96260593,13.00000000
1611,keep,3.42253333,,0.23144531,0.16078629,0.43750000,0.84375000,0.36914062,0.51299850,0.59316728,0.32258065,0.16129032,1.00000000,1.00000000,2.53645383,11.00000000
1612,keep,2.03902836,,0.23535156,0.16582661,0.40625000,0.75000000,0.30468750,0.51385357,0.58546379,0.32258065,0.22580645,1.00000000,1.00000000,3.02729533,12.00000000
1613,keep,5.69441694,,0.23925781,0.20715726,0.56250000,0.81250000,0.45703125,0.54338381,0.57682686,0.32258065,0.19354839,1.00000000,1.00000000,3.26045284,12.00000000
1614,keep,2.79507873,,0.21484375,0.17540323,0.43750000,0.75000000,0.32812500,0.50762463,0.60029326,0.32258065,0.22580645,1.00000000,1.00000000,2.87207500,11.00000000
1615,keep,5.02748789,,0.20800781,0.16078629,0.37500000,0.84375000,0.31640625,0.47160382,0.54399515,0.32258065,0.12903226,0.99530516,2.00000000,2.77312347,12.00000000
1616,keep,3.50618747,,0.21777344,0.16078629,0.40625000,0.78125000,0.31738281,0.47041805,0.60465789,0.25806452,0.22580645,1.00000000,1.00000000,2.81869289,11.00000000
1617,keep,12.94962291,,0.31054688,0.24445565,0.75000000,0.84375000,0.63281250,0.49624670,0.57110976,0.12903226,0.16129032,1.00000000,1.00000000,2.91487259,12.00000000
1618,keep,6.37565138,,0.21386719,0.15776210,0.43750000,0.78125000,0.34179688,0.47341287,0.56724113,0.25806452,0.19354839,0.98630137,2.00000000,2.53731672,11.00000000
1619,keep,2.46669724,,0.21289062,0.17893145,0.37500000,0.78125000,0.29296875,0.46848180,0.56777153,0.29032258,0.19354839,1.00000000,1.00000000,3.50559808,14.00000000
1620,keep,3.86967501,,0.22851562,0.21118952,0.46875000,0.78125000,0.36621094,0.46994762,0.58726220,0.25806452,0.22580645,1.00000000,1.00000000,3.39129250,12.00000000
1621,keep,7.34045099,,0.27539062,0.21169355,0.53125000,0.81250000,0.43164062,0.53374514,0.55513612,0.32258065,0.16129032,1.00000000,1.00000000,2.75813435,11.00000000
1622,keep,4.89576867,,0.27734375,0.20614919,0.46875000,0.84375000,0.39550781,0.49284416,0.56974103,0.25806452,0.16129032,1.00000000,1.00000000,2.82772454,12.00000000
1623,keep,4.31048509,,0.23632812,0.20413306,0.50000000,0.81250000,0.40625000,0.53972274,0.57544655,0.32258065,0.19354839,1.00000000,1.00000000,3.00371222,11.00000000
