generated_index,hash,matched_split,matched_dataset_indices,num_dataset_matches
399,eaa01d73cff10a24ee092b79cd985f6b9f683a00,train,25243,1
400,fd71e6bece6a32508b939212616bd896b0c557c7,train,48016,1
402,b100c1be8367f4ce8d0006f8068a0aa8e0205744,train,56162,1
403,4c91490ffb6dcc3eee94bd9f6694aa3d318a72c7,train,7307,1
404,5321dfc16e25e6307dad553754decfe08475cc9a,train,26734,1
406,4e9380f4b45ce22068180d4b3dae69415ae9c582,train,50505,1
407,5fc3ea18a01eeb556c30e04d75c36a0f1753f6bc,train,6452 6454,2
408,ee755b018799f123931f3bd43dd9f8d489d2d064,train,61841,1
409,9ac50e6572ecf79e9ea8d1ea5ba957aef96cf979,train,5280,1
410,f31d6dcf8730e561611383845c40603915b81e1b,train,78274,1
411,784d86d55bd4fed633e2eac4d2d067898c8dde3d,train,80538,1
412,c5175262545256ddaa480220f1cf629dc0573214,train,78099,1
414,e616afb72489105ba9bc8a1d42ffb47bb5ea49cc,train,35972,1
417,57a149786741811d5aa5a6f8547cf8b68e1f4476,train,74208 77832 77839,3
418,d7b9f7402e50772acc8291f4f6c6057960472d2b,train,56474,1
419,7b6362b1411420adf42b54e82ba4f1bb7cebd68e,train,59640 59647,2
420,6c8a0f9ae5c30226e9d0f41bf676e6e1985980a0,train,72811,1
421,a6e38753c7e420f27ea23b5befef7b4bead169cd,train,25261,1
422,37c0faeb588471ae73fbf447deccd6d29918572f,train,81059,1
